Title,Length,View,Like,Hashtag
老師讓全班同學都安靜了,0:0:21,1852367,78306,No hashtag
歌迷點歌喊〈跳樓機〉　蕭煌奇：賣鬧好嗎？,0:0:12,786453,19677,['Shorts']
男抽兵種秒變海軍陸上睡！1抽入魂全網笑：原地軟掉@cosmosviral,0:0:45,212328,5980,['shorts']
不懂這些美甲行業黑話，你真的會被坑！,0:1:8,406843,24884,['分飾#乾貨#美甲#行業黑話#避雷']
被嗆!【,0:1:2,668525,13306,"['南珉貞', '韓文', '對話', '綠茶', '女孩好野】EP07︱#shorts', '沈玉琳', '張立東', '風田', '林襄', 'Yuri', '一粒', '宜蘭']"
Oreo迷你水彩盤！,0:0:56,247197,16999,"['watercolor', 'art']"
【幼兒園菜鳥變老手】上學第1天 vs.上學第11天2y kid Cries on First Day  From Rookie to Pro at Kindergarten,0:0:59,898767,16402,['shorts']
真的有這種乘客嗎😂😂,0:0:55,420408,8768,No hashtag
夫妻久「沒開張」怎麼解？！黃越綏超直白發言費玉清招架不住？！【不笑算我輸】 EP431｜費玉清,0:18:42,146432,2017,No hashtag
【纯享版】张远带着全新emo神曲又“杀”回来了！携手姚晓棠虐心唱响《看着我的眼睛说》 将故事感融入旋律 让人沉浸式感受虐恋！EP7 20250530,0:4:37,1618651,20487,['天赐的声音6']
How To Choose Hot Pot Date Night! Pt.2,0:1:19,58331848,2025055,No hashtag
女警騎重機突倒車無措扶不起！駕駛秒下車1舉動超暖,0:0:40,1093608,30447,No hashtag
江淑娜逃婚真相 招贅不成留下遺憾《豬哥會社》,0:0:54,200226,2991,No hashtag
貝蒂的秀場引退作 豬哥亮親自主持《豬哥會社》,0:2:10,68035,1217,No hashtag
When my bestie and I misunderstood each otherXixi,0:0:38,178442,2781,"['Xiao', 'Funnyvideo']"
路遇加塞眼看剑拔弩张，女子用高情商话语“出击”，瞬间就化解了矛盾……,0:0:17,161045,1783,"['这操作都看傻了', '惊不惊喜意不意外', '语言的魅力', '万万没想到']"
休旅車疑因違停擋道急切左轉 遭聯結車猛撞翻車！鋼材暴衝貫穿車頭 聯結車駕駛死裡逃生全都錄【,0:0:14,129539,1079,"['朱朱哥來聊車】@中天車享家CtiCar', '抖音', 'shorts']"
我有這麼權威的短褲挑選指南！顯腿粗、顯三角區退退退！,0:0:50,432821,23848,['分飾#乾貨#選短褲#夏日必看#穿搭指南']
澳洲小鎮夢幻工作？年薪1420萬＋免費住宿！🤩｜志祺七七 Shorts,0:0:37,597466,20921,['shasha']
孫協志夫婦遇「水泥砸落意外」　夏宇童告白：我沒有他活不下去｜TVBS娛樂頭條,0:1:26,363124,5159,['shorts']
